Z_PK,Z_ENT,Z_OPT,ZCVOUT,ZFIN,ZNVOUT,ZTOCHARTDATA,ZDATETIME
1,2,1,0,100,100,<null>,201709102253
2,2,2,0,0,150,<null>,201709092254
3,2,1,0,400,220,<null>,201709110901
4,2,1,0,0,110,<null>,201709111040
5,2,1,0,350,0,<null>,201709111200
6,2,1,0,0,130,<null>,201709111336
7,2,1,0,0,100,<null>,201709111502
8,2,1,0,237,100,<null>,201709111757
9,2,1,0,100,190,<null>,201709112225
10,2,1,0,100,90,<null>,201709112358
11,2,1,0,0,310,<null>,201709120757
12,2,1,0,500,0,<null>,201709120841
13,2,3,0,0,50,<null>,201709120904
14,2,1,0,0,100,<null>,201709121027
15,2,1,0,400,0,<null>,201709121108
16,2,1,0,0,210,<null>,201709121351
17,2,1,0,300,0,<null>,201709121200
18,2,1,0,0,130,<null>,201709121601
19,2,1,0,237,0,<null>,201709121734
21,2,1,0,0,120,<null>,201709121901
22,2,1,0,400,0,<null>,201709121904
23,2,1,0,0,200,<null>,201709122334
24,2,1,0,0,330,<null>,201709130550
25,2,2,0,500,300,<null>,201709130947
26,2,1,0,0,100,<null>,201709131140
27,2,1,0,300,0,<null>,201709131200
28,2,1,0,0,100,<null>,201709131330
